uzunluk_mm,genislik_mm,yukseklik_mm,toplam_adet,ort_agirlik_kg,min_kg,max_kg
1200,1000,1045,2469,115.1,32.94,444.9
1765,1050,930,2458,297.1,282.0,326.8
1200,1000,745,2444,155.0,34.8,373.5
1360,1150,1200,2424,350.5,346.0,355.0
1206,1010,796,2396,34.9,33.2,37.706
1206,1010,681,2347,545.6,118.4,857.9
1600,1200,1450,2309,217.0,121.6,380.288
2280,1470,990,2301,948.7,550.1,1373.0
1412,1140,1200,2294,150.6,150.56,150.56
1880,1095,1350,2222,766.5,721.885,819.85
1400,1200,1450,2150,231.5,179.4,315.92
1600,1200,765,2148,169.2,157.68,178.3
1800,1200,1490,1990,438.3,418.78,544.112
1206,1010,1151,1986,110.7,83.048,140.808
1200,1000,1000,1971,320.7,154.16,1345.52
1140,980,860,1965,329.6,62.08,619.256
1220,1000,1350,1924,505.5,485.0,518.0
1640,1200,870,1914,429.2,324.56,455.46
1206,1010,1361,1854,148.9,143.0,151.4
1675,1200,975,1814,471.4,471.42,471.42
1206,1010,1341,1796,146.5,142.92,149.64
1670,1200,1470,1796,375.5,375.384,375.6
1206,1010,285,1691,78.5,21.05,235.7
1200,1000,1080,1676,694.1,491.18,965.01
1200,1000,980,1664,265.4,265.14,265.68
1200,1000,880,1662,551.3,531.0,577.4
1206,1010,982,1599,183.3,89.0,685.0
1200,980,1090,1586,99.9,83.0,159.25
1200,1000,840,1555,555.7,160.49,770.0
2400,1200,1490,1478,273.5,207.294,367.696
2000,1340,1130,1452,158.0,158.04,158.04
1200,1000,1145,1433,180.9,24.2,750.7
2400,1500,1520,1414,390.6,390.344,390.764
1358,1153,1264,1412,373.9,364.8,381.6
1195,1000,885,1404,547.2,519.0,667.9
2000,1200,1490,1402,451.8,390.39,469.201
1170,1000,760,1394,354.8,239.216,471.152
1650,1200,650,1386,676.8,674.2,677.2
1206,1010,1380,1384,178.5,146.84,897.8
1600,1200,975,1349,591.5,180.2,1471.6
2200,1340,930,1314,209.2,208.4,212.0
1200,1000,1410,1296,461.6,461.6,461.6
1450,1140,860,1268,152.5,32.37,266.964
1200,1000,990,1248,97.2,78.0,116.4
1220,1020,1150,1228,751.1,566.0,870.0
1358,1153,1245,1214,372.9,361.16,413.96
1200,1000,1060,1194,741.8,580.4,970.84
1900,1200,900,1174,170.7,151.944,175.38
1200,1000,1050,1172,192.6,192.62,192.62
1340,1200,900,1170,275.8,275.76,275.76
2300,1420,990,1132,1389.6,1255.0,1473.4
2300,1420,950,1126,1123.5,1049.578,1142.004
1206,1010,1426,1124,165.0,145.94,175.64
1600,1200,870,1110,564.2,451.6,620.6
1900,1200,970,1098,214.7,191.86,276.6
1670,1205,1355,1098,448.2,448.04,448.544
1400,1000,965,1092,670.0,670.0,670.0
1206,1010,961,1084,108.8,108.84,108.84
1800,1200,1495,1060,260.3,260.3,260.3
1600,1400,990,1042,307.0,307.03,307.03
1600,1200,1000,1040,331.5,331.5,331.6
1200,1000,730,1020,1042.9,872.1,1189.2
1605,1205,990,1012,316.7,316.684,316.684
1220,1020,1300,1008,788.4,776.8,800.992
1400,1225,1160,1004,297.5,278.5,317.0
1200,1000,145,984,1141.2,1141.2,1141.2
1200,800,970,981,230.4,210.4,507.0
2350,1200,1500,944,330.6,322.946,335.364
1800,1200,710,937,458.4,458.4,458.4
1500,1200,1390,936,635.3,635.32,635.32
1600,800,1450,916,173.1,170.0,175.1
1206,1010,1255,882,91.6,88.68,93.48
2300,1200,1350,878,1172.8,897.2,1339.04
1206,1010,1331,856,76.6,56.504,99.0
1605,1205,1490,851,344.6,228.077,420.29
1675,1200,1493,840,787.2,787.2,787.2
1340,1000,1400,832,239.1,237.098,240.77
1800,1200,1350,822,198.1,170.4,452.68
1900,1200,1350,816,670.4,670.4,670.4
1206,1010,787,812,81.2,42.84,127.624
1200,1200,1490,809,333.6,323.072,349.12
1900,1200,1450,806,371.9,322.472,520.246
2400,1220,1500,794,325.3,266.304,388.592
1360,1150,1306,778,349.0,349.0,349.0
1600,1200,970,772,364.0,364.0,364.0
1900,1200,651,771,272.7,272.73,272.73
1350,960,1290,768,369.0,369.0,369.0
1750,1130,820,762,334.6,334.55,334.55
1140,1140,1000,760,290.8,289.379,292.179
1400,1000,980,738,705.0,566.585,764.35
1750,1100,1350,732,768.2,767.0,769.0
1200,1000,445,719,46.6,19.472,295.4
1740,1200,890,718,485.0,483.565,495.25
1600,1200,1200,713,1303.6,1098.28,1366.8
1206,1010,584,692,110.9,44.4,320.2
2350,1320,910,690,264.5,242.61,268.925
1600,1200,940,684,409.9,371.25,434.4
1206,1010,1080,676,148.9,123.2,161.54
1900,1200,1380,672,275.1,272.15,277.05
1730,1020,1320,654,830.0,830.0,830.0
1800,1200,1300,652,226.3,218.4,234.0
1350,1150,150,652,312.3,310.0,347.0
1670,1200,1500,642,274.3,152.8,421.0
1200,1000,1595,628,87.1,87.14,87.14
1600,1400,590,626,444.0,444.0,444.0
1800,1200,2950,616,271.2,256.8,303.2
2400,1640,1490,616,84.0,81.76,86.4
1340,1200,1300,590,314.8,276.8,344.4
1610,1208,980,582,111.1,100.34,119.612
1200,800,800,565,697.5,376.0,762.98
1670,1200,1010,564,638.0,638.0,638.0
1206,1010,1261,548,110.9,88.04,117.8
2400,1200,760,547,256.6,256.16,261.92
1610,1240,390,544,661.9,661.864,661.864
1110,940,620,544,151.2,142.6,162.0
2400,1400,910,532,198.8,174.438,205.35
1140,980,1066,526,202.5,184.985,215.585
1210,1010,990,525,231.0,177.14,263.872
2400,1200,1500,518,367.7,367.734,367.734
1950,1850,950,514,217.8,215.25,243.25
3200,2000,510,514,1618.6,1614.032,1622.924
1140,490,660,512,202.4,93.736,312.66
1090,1090,820,504,630.7,630.7,630.7
2400,1900,1470,496,458.7,458.672,458.672
1180,1140,545,490,140.4,72.56,199.4
1206,1010,1382,474,126.3,90.2,202.2
1605,1205,950,468,321.7,321.716,321.716
2000,1600,980,467,390.4,322.0,409.5
1186,1145,865,466,169.3,122.2,176.405
1675,1200,1465,458,334.7,334.72,334.72
1140,980,660,449,502.0,166.18,887.5
1206,1010,1246,444,113.9,107.72,117.8
1140,980,1071,414,231.9,61.426,363.961
1230,995,1100,414,701.1,701.1,701.1
1605,1205,1030,408,342.6,342.532,342.664
2400,2200,960,407,961.8,961.783,961.783
1670,1200,1450,398,224.5,172.0,277.072
1200,1000,973,397,248.5,248.5,248.5
1200,1000,600,396,88.3,78.7,94.3
1910,1200,1295,396,618.0,498.6,724.45
1200,800,740,392,925.5,890.72,943.52
1605,1205,1200,390,284.5,258.792,312.248
1206,1010,384,388,198.5,52.0,338.0
1200,1000,860,376,376.8,219.91,798.0
2750,1500,1250,376,329.4,329.375,329.375
1500,690,1150,374,570.7,440.8,598.75
1550,750,1120,374,762.2,378.757,924.4
1206,1010,783,372,150.4,57.8,441.68
1200,1100,975,370,187.1,187.14,187.14
2200,1300,1300,354,253.5,253.5,253.5
3200,800,975,348,197.7,196.96,198.4
2400,1670,1500,346,318.8,318.772,318.772
2400,1400,975,334,338.3,338.336,338.336
1540,1540,800,332,2369.3,1730.96,2735.2
1480,1200,1480,324,695.4,695.4,695.4
1170,1000,920,320,286.5,261.18,306.452
2300,1300,1400,314,518.4,455.0,555.0
1200,1000,1400,310,242.3,242.279,242.279
1206,1010,879,307,527.1,195.8,1026.98
1200,1000,900,299,139.8,64.2,171.4
1800,1200,1400,298,725.5,721.88,727.34
1206,1010,1321,292,136.9,126.42,138.74
1200,1000,1300,290,724.9,699.4,749.0
1206,1010,596,288,67.2,28.864,71.48
2400,2200,1500,284,356.5,254.0,562.469
1200,1000,1200,284,611.6,585.2,642.8
1206,1010,784,281,100.7,62.74,499.0
1610,1208,750,279,122.6,122.644,122.644
1200,1000,345,277,44.4,18.27,136.5
1600,1000,510,276,519.0,519.0,519.0
1200,1000,1070,272,218.4,218.36,218.36
3200,800,960,270,181.6,172.8,186.32
1670,1200,970,270,251.6,251.6,251.6
1900,1500,320,268,232.2,232.25,232.25
1206,1010,983,258,124.0,122.76,125.16
3200,800,1450,252,233.5,225.575,240.625
1600,800,1010,252,320.8,317.8,323.8
780,570,475,250,162.0,162.0,162.0
3280,2100,495,246,932.4,852.0,952.5
1145,975,1100,246,598.6,592.0,604.0
1200,1000,485,242,134.5,134.52,134.52
800,600,650,240,140.3,135.21,145.77
1206,1010,1167,236,61.5,61.48,61.48
3000,1200,1250,234,1106.6,1061.6,1151.6
1770,1070,1140,234,420.8,312.2,527.45
1206,1010,582,233,323.0,82.6,619.16
1950,1600,1450,232,325.7,325.74,325.74
2000,1600,1010,228,274.6,272.268,275.58
1880,1100,840,217,316.9,306.12,363.54
2102,1302,950,214,159.6,159.6,159.6
1205,805,950,212,630.9,630.92,630.92
2400,1200,1400,203,338.9,338.88,338.88
1200,1000,1350,202,200.7,36.525,385.92
1005,805,950,198,513.7,513.74,513.74
1585,1200,800,198,2106.7,2088.736,2151.084
1200,800,1170,197,67.0,66.99,66.99
2400,1650,1280,194,442.5,440.0,444.5
1370,930,1200,190,345.6,345.64,345.64
1200,1000,520,188,57.6,26.804,534.0
1206,1010,981,188,108.4,76.0,464.0
1313,1145,1400,188,364.8,364.8,364.8
1200,800,1150,182,48.3,48.33,48.33
1320,710,680,180,108.8,108.762,108.762
2050,1200,1450,178,340.5,337.8,343.788
1200,1000,870,178,167.2,167.2,167.2
1400,1200,1305,176,271.7,195.8,302.0
1220,1020,1012,176,474.7,474.7,474.7
1206,1010,1047,175,78.3,78.272,78.272
1100,950,315,174,23.7,23.714,23.714
1950,1600,975,174,401.8,327.16,403.8
800,600,324,173,19.0,14.84,84.2
1206,1010,780,172,754.0,600.8,843.2
1750,1100,1030,172,491.2,491.16,491.16
1200,1000,945,171,272.5,122.08,704.496
1200,800,940,166,539.1,341.2,668.8
2100,1160,1320,164,61.4,40.0,114.07
1100,1100,1243,164,220.6,220.6,220.6
1200,1000,925,163,71.3,63.78,79.68
1340,1000,385,158,30.3,20.4,30.476
1206,1010,841,157,494.8,494.82,494.82
4380,2100,495,152,1176.7,1053.0,1230.0
1200,800,1035,150,152.3,152.344,152.344
1206,1010,483,147,229.2,62.96,473.9
1750,1190,1350,147,651.5,591.826,880.586
1200,1020,890,146,361.1,278.9,451.0
1200,1000,790,146,560.8,560.8,560.8
1200,1000,770,145,1106.4,1106.4,1106.4
2200,1100,1600,141,671.5,671.455,671.455
1600,800,930,136,331.0,330.96,330.96
1206,1010,861,135,189.2,96.908,193.25
1206,1010,1186,134,99.3,99.304,99.304
1220,1020,1330,132,790.5,774.88,793.12
1206,1010,446,128,52.6,52.625,52.625
1500,1200,1250,126,486.0,486.0,486.0
1220,1020,1111,125,149.9,149.92,149.92
1200,1000,845,124,214.2,214.16,214.16
1206,1010,335,122,34.1,23.336,43.09
2405,1205,1300,120,831.3,831.328,831.328
1200,800,930,118,271.1,271.122,271.122
1750,790,970,114,424.7,424.74,424.74
1350,600,650,112,627.0,627.0,627.0
4000,1200,1443,112,635.0,626.6,645.368
1140,980,1185,110,277.1,275.371,280.431
3100,1220,900,108,546.5,402.2,622.45
1200,1000,1825,108,214.2,214.16,214.16
1300,1100,852,106,134.9,116.248,147.748
1250,1100,1150,105,1188.4,1188.41,1188.41
2810,1350,710,102,239.1,231.7,248.08
1200,1000,545,96,506.9,64.44,729.5
1360,1153,1250,96,382.7,382.7,382.7
1200,800,975,96,160.8,156.58,164.34
1200,1000,950,96,287.3,287.256,287.256
1500,1200,1480,95,237.1,237.104,237.104
1605,1205,930,94,766.3,766.3,766.3
1600,1200,1490,94,189.9,187.56,190.28
1200,1000,1225,94,203.7,186.156,210.348
1670,1220,1540,92,244.5,244.54,244.54
1800,1200,1010,92,526.6,526.57,526.57
2400,1200,500,92,748.5,627.3,993.0
1200,800,895,92,374.7,374.68,374.68
1200,1000,645,90,65.9,21.1,330.5
1200,1000,1195,90,81.9,67.68,96.18
1206,1010,1541,90,103.0,95.08,110.12
1140,790,1066,88,169.3,169.342,169.342
1200,1000,519,88,73.6,73.2,74.112
1900,1500,950,88,694.8,694.8,694.8
2010,1310,975,86,289.4,289.35,289.35
2400,2200,1480,85,445.1,400.4,467.94
1400,1200,1350,82,299.5,299.424,299.592
1200,1200,1250,81,201.1,201.12,201.12
1200,1000,395,80,49.2,22.7,88.0
1800,1200,1200,80,325.5,304.0,334.06
1358,1153,1093,80,346.4,346.4,346.4
1400,1200,745,78,290.5,94.32,421.276
2200,900,550,78,650.1,116.0,816.0
1358,1153,1183,78,49.0,49.0,49.0
2820,800,550,76,824.7,222.75,1018.6
1206,1010,979,76,68.6,62.59,69.94
1200,1000,856,72,981.8,981.8,981.8
1206,1010,789,70,71.8,38.92,91.28
1206,1010,451,70,33.2,28.06,37.92
1100,950,1450,70,206.2,206.224,206.224
1206,1010,1685,70,285.5,151.6,677.8
1200,800,750,70,399.8,397.04,403.04
1140,980,284,66,56.1,56.108,56.108
1206,1010,1077,66,419.4,419.36,419.36
1206,1010,1171,66,104.7,104.716,104.716
1206,1010,693,65,432.5,432.5,432.5
1200,800,900,64,51.8,42.8,61.75
1206,1010,1011,64,119.5,115.84,123.56
1206,1010,484,62,58.8,54.0,66.78
2900,1140,320,62,300.1,291.05,326.69
1170,1340,1089,62,126.5,100.0,182.0
1200,1000,1057,61,171.9,164.04,179.85
1100,950,945,60,272.6,272.616,272.616
1605,1205,1800,60,567.2,565.906,568.48
2600,800,1460,60,481.8,481.84,481.84
1200,1000,1155,59,323.7,124.6,375.0
1206,1010,296,56,31.1,23.724,49.668
1206,1010,1081,56,358.4,358.4,358.4
1206,1010,1111,56,170.4,170.4,170.4
1206,1010,471,54,40.6,28.54,51.96
1206,1010,1326,54,93.7,93.48,93.96
1220,1020,670,53,497.2,497.25,497.25
1200,1000,295,52,67.0,20.72,156.7
1200,1000,235,51,104.6,19.176,255.2
800,600,480,51,228.5,228.48,228.48
1150,950,750,48,59.5,42.686,96.542
1206,1010,991,47,195.9,195.95,195.95
800,600,574,47,392.0,392.0,392.0
1200,1000,895,46,131.4,64.72,197.4
1200,800,1185,44,131.8,131.8,131.8
1500,1300,600,44,104.2,104.248,104.248
1200,1000,1345,44,249.0,59.2,317.2
1200,1000,610,43,91.2,91.216,91.216
1140,980,1194,42,167.3,134.04,197.24
1200,980,535,42,97.6,97.6,97.6
1200,1000,325,41,283.8,283.8,283.8
1200,1000,1025,40,160.9,160.932,160.932
1740,1200,1030,40,690.9,679.1,730.02
1206,1010,1131,39,292.9,210.29,313.82
1206,1010,633,38,78.9,71.3,90.47
1206,1010,341,38,34.0,28.344,37.288
1000,1000,1330,38,239.6,239.624,239.624
1800,1200,510,38,589.5,589.5,589.5
2800,2000,510,38,1435.3,1369.792,1460.48
1200,1000,359,38,62.2,27.6,77.352
1460,1160,650,38,288.8,288.84,288.84
1550,1230,817,36,2236.3,2236.28,2236.28
1800,1400,1470,36,194.3,194.28,194.28
2200,1200,1450,36,376.5,376.52,376.52
1206,1010,715,36,355.3,321.64,391.56
1600,1200,270,34,33.4,28.474,34.948
1200,1000,706,32,101.6,100.8,102.168
1340,1000,785,30,70.3,69.9,70.428
1206,1010,782,30,102.9,98.12,114.16
1200,1000,2145,30,51.7,51.72,51.72
1206,1010,409,29,44.5,32.0,45.8
1340,1000,585,28,50.3,50.1,50.452
1340,1000,985,28,90.3,89.7,90.404
1090,910,720,28,62.3,62.34,62.34
1206,1010,931,26,124.6,118.5,137.85
2000,1200,750,26,240.6,232.292,254.0
1200,1000,1645,26,150.8,150.8,150.8
1200,1000,558,26,127.5,122.032,136.704
1740,1140,860,26,132.0,44.0,234.624
1200,980,2015,26,103.8,94.07,125.78
1670,1200,830,26,366.8,366.8,366.8
1204,807,870,25,165.2,165.22,165.22
1358,1153,1239,24,445.2,445.16,445.16
1208,1008,605,24,53.6,24.54,68.62
1206,1010,295,24,25.2,22.485,25.7
1206,1010,531,24,42.6,27.596,60.38
1200,1150,2000,22,379.4,379.407,379.407
1220,1020,785,22,464.6,464.58,464.58
1780,1060,1150,22,324.5,324.5,324.5
1100,950,645,22,135.9,135.858,135.858
1170,1340,717,22,99.1,81.4,125.2
1200,1000,405,21,32.0,21.852,38.56
1200,1000,1990,21,182.0,182.0,182.0
1200,1000,1570,21,235.2,215.72,254.6
1140,980,644,20,140.3,140.348,140.348
2300,1590,1490,20,658.4,658.4,658.4
1206,1010,431,20,43.5,43.512,43.512
1605,1205,1450,20,852.5,852.5,852.5
1206,1010,987,20,73.0,71.36,74.96
1200,1000,1105,20,590.5,450.432,597.84
800,800,650,20,30.6,30.6,30.6
1200,1000,332,20,45.9,45.6,46.056
1200,800,350,19,63.8,26.97,138.16
1400,1200,1045,18,134.0,133.98,133.98
1600,1200,1475,18,206.3,206.34,206.34
1200,1000,435,18,31.8,31.828,31.828
1206,1010,756,18,56.5,56.44,56.68
2400,1200,1600,18,424.6,423.55,426.25
1206,1010,698,18,77.1,77.06,77.06
1358,1153,1169,18,374.0,368.0,380.0
1200,1000,1033,18,102.0,102.0,102.0
1200,1000,1159,16,254.1,239.5,356.625
1200,1185,940,16,212.8,156.0,269.6
1206,1010,719,16,55.1,54.04,56.44
1550,1100,817,16,1552.2,1547.158,1557.158
1090,910,340,16,32.8,27.195,36.78
1170,1340,531,16,76.7,64.0,96.8
1206,1010,651,14,73.1,73.064,73.064
1206,1010,496,14,55.2,55.176,55.176
1200,1000,725,14,45.7,45.656,45.656
1380,1150,1300,14,531.0,531.0,531.0
1000,800,500,13,378.7,323.02,434.43
1200,1000,410,13,24.5,24.531,24.531
1206,1010,522,13,58.2,58.154,58.316
3200,1200,500,12,305.5,302.688,311.2
1150,950,770,12,78.7,78.7,78.7
1206,1010,1176,12,825.7,217.4,1542.4
1400,1200,445,12,54.7,54.66,54.66
1140,980,338,12,53.1,53.128,53.128
1560,1205,1510,12,516.8,516.75,516.75
1206,1010,1123,12,125.0,125.0,125.0
1140,980,438,12,62.5,43.79,79.925
2400,1910,1500,12,429.6,429.62,429.62
1206,1010,1213,12,218.7,218.65,218.65
1206,1010,974,12,110.1,109.826,110.204
1200,800,1050,12,37.1,37.12,37.12
1200,1000,245,12,56.1,45.59,77.25
1206,1010,1231,12,142.2,142.16,142.16
1200,1000,893,12,129.3,128.4,130.224
1200,800,1080,11,542.5,542.5,542.5
1200,1000,2020,10,238.1,238.1,238.1
1206,1010,2185,10,605.2,381.9,754.15
1206,1010,806,10,91.0,90.952,90.952
1400,1200,1055,10,174.8,174.75,174.75
1200,1000,225,10,28.4,28.408,28.408
1500,1300,300,10,361.5,361.528,361.528
1206,1010,286,10,33.7,25.353,39.325
1600,1200,1500,10,147.8,147.808,147.808
1170,1340,903,10,116.6,95.2,153.6
1200,800,540,10,528.4,528.442,528.442
2400,2200,1450,9,290.6,280.0,332.632
1206,1010,321,8,39.0,28.12,45.56
1200,1000,759,8,150.9,150.9,150.9
2000,1600,1450,8,409.4,409.379,409.379
1450,1140,660,8,475.8,475.78,475.78
1222,1015,1185,8,230.0,230.0,230.0
1206,1010,647,8,72.2,72.2,72.2
1110,900,640,8,85.7,85.71,85.71
1400,1000,600,8,12.4,12.437,12.437
2400,1900,1450,8,396.0,396.0,396.0
1200,1000,459,8,39.5,25.16,53.8
800,600,824,8,411.6,411.56,411.56
1206,1010,1041,8,74.8,74.24,75.32
1605,1205,1480,8,237.4,237.4,237.4
1600,1200,1650,8,320.0,307.27,324.36
1600,1200,1620,8,294.6,294.65,294.65
2288,1393,952,8,793.0,752.9,813.02
1200,1000,1109,8,153.8,153.776,153.776
1206,1010,389,8,59.2,59.25,59.25
1200,1000,615,8,21.9,21.657,22.657
800,600,394,8,97.6,78.7,129.2
1200,800,450,8,120.4,120.4,120.4
800,600,214,8,156.8,156.8,156.8
1900,1200,1480,7,361.8,325.0,390.6
1206,1010,1193,7,445.1,445.1,445.1
1206,1010,748,7,84.0,83.99,84.26
1206,1010,635,7,71.1,71.072,71.288
1206,1010,1301,6,228.7,228.68,228.68
2650,1410,1300,6,286.0,244.0,307.0
1206,1010,885,6,98.6,98.6,98.6
1140,980,752,6,154.5,129.89,193.49
1200,1000,1059,6,86.2,86.16,86.16
1200,1000,665,6,57.4,56.52,59.12
1200,1000,1015,6,59.5,59.484,59.484
800,600,370,6,12.5,12.461,12.461
1360,1153,1120,6,380.6,380.6,380.6
1090,910,530,6,49.6,49.56,49.56
1170,1340,345,6,55.2,52.0,59.8
1206,1010,291,5,66.4,36.184,86.536
1200,1000,885,5,667.1,667.056,667.056
1200,1000,259,5,65.3,55.35,80.25
800,600,1124,5,130.7,130.7,130.7
800,600,344,5,59.9,59.92,59.92
1180,1140,860,4,253.0,253.008,253.008
1206,1010,1051,4,117.1,117.08,117.08
1206,1010,461,4,71.7,71.72,71.72
1200,1000,959,4,195.2,195.2,195.2
1200,1000,1270,4,150.1,150.06,150.06
1500,1200,1195,4,80.9,80.898,80.898
1100,950,1845,4,497.4,497.4,497.4
1140,980,766,4,120.0,119.984,119.984
1140,980,552,4,86.6,86.556,86.556
1110,900,300,4,42.7,42.726,42.726
1200,1000,275,4,46.8,46.82,46.82
1650,1200,1450,4,276.5,276.5,276.5
2405,1205,745,4,566.7,566.748,566.748
1206,1010,956,4,267.0,266.96,266.96
1358,1153,1263,4,342.0,342.0,342.0
1206,1010,591,4,88.0,87.98,87.98
1600,1200,915,4,141.0,141.048,141.048
1200,800,335,4,24.3,24.27,24.27
1206,1010,456,4,65.1,65.12,65.12
2700,1500,1250,4,357.2,357.25,357.25
1208,1008,1435,4,176.3,176.3,176.3
1206,1010,1371,4,92.5,86.18,98.78
1200,800,550,4,30.1,30.077,30.077
1670,1200,940,4,297.5,297.5,297.5
800,600,484,4,327.0,327.04,327.04
1200,800,320,3,147.5,147.52,147.52
800,600,590,3,101.7,101.696,101.696
1180,1140,454,3,32.5,32.464,32.464
1206,1010,759,3,58.6,58.648,58.648
2000,1200,1200,2,867.9,867.938,867.938
1140,980,557,2,44.0,44.008,44.008
1200,1000,559,2,106.6,106.6,106.6
1140,980,980,2,153.4,153.412,153.412
1000,930,320,2,75.7,75.726,75.726
1190,1140,510,2,97.1,97.076,97.076
1200,1200,2800,2,405.6,405.62,405.62
1600,1200,395,2,47.9,47.896,47.896
2200,1910,1500,2,522.6,522.6,522.6
1200,800,345,2,185.2,185.23,185.23
1940,1700,1350,2,332.0,332.0,332.0
1220,1020,940,2,592.4,589.26,595.5
1200,1000,330,2,180.3,180.264,180.264
1200,1000,260,2,48.4,44.094,52.792
1186,1145,660,2,102.0,101.964,101.964
1605,1205,1750,2,248.9,248.89,248.89
1600,1200,1480,2,815.9,815.875,815.875
1576,976,1060,2,248.4,248.4,248.4
1208,1008,1020,2,122.1,122.1,122.1
1206,1010,523,2,37.9,37.91,37.91
1300,1200,845,2,152.5,152.548,152.548
1615,1205,975,2,213.8,213.78,213.78
1206,1010,516,2,55.1,55.118,55.118
1206,1010,751,2,50.2,50.25,50.25
1206,1010,746,2,79.1,79.07,79.07
800,600,174,2,443.2,443.25,443.25
1200,1000,515,1,342.5,342.528,342.528
1206,1010,492,1,79.2,79.175,79.175
1200,1000,244,1,30.9,30.9,30.9
1200,1000,305,1,91.5,91.545,91.545
